epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93888,2.09133,2.62692,1.56556,0.00314,0.94286,0.21737,0.1514,1.51111,2.81927,1.53315,0.00034,0.00034,0.00034
2,9.91767,1.30227,1.34211,1.20267,0.96752,0.31429,0.69851,0.43123,1.29149,2.00739,1.31438,0.00069307,0.00069307,0.00069307
3,13.9715,1.19448,1.09063,1.11213,0.71478,0.74286,0.80852,0.51351,1.30298,1.4658,1.28132,0.00103901,0.00103901,0.00103901
4,17.8216,1.19202,1.01951,1.09341,0.71616,0.93724,0.87563,0.51973,1.26959,1.11048,1.20037,0.00137783,0.00137783,0.00137783
5,21.7349,1.1863,0.95978,1.09841,0.76825,0.97143,0.8546,0.50861,1.28158,0.95776,1.1838,0.00170951,0.00170951,0.00170951
6,25.3026,1.17006,0.92508,1.08734,0.78951,0.91429,0.82347,0.47706,1.25155,0.99367,1.17673,0.001901,0.001901,0.001901
7,29.0231,1.17603,0.92206,1.08478,0.83043,0.91429,0.91648,0.5791,1.0618,0.90085,1.116,0.0018812,0.0018812,0.0018812
8,33.3323,1.12069,0.85195,1.06354,0.7925,0.98224,0.90524,0.57847,1.06579,0.85816,1.09746,0.0018614,0.0018614,0.0018614
9,37.1178,1.09218,0.84888,1.0477,0.88556,0.91429,0.91167,0.56288,1.20015,0.77356,1.14406,0.0018416,0.0018416,0.0018416
10,40.7266,1.10583,0.80702,1.0813,0.7788,0.9055,0.90004,0.56844,1.1227,0.83077,1.14169,0.0018218,0.0018218,0.0018218
11,44.4857,1.18184,0.78927,1.05196,0.76392,0.92469,0.88954,0.49787,1.25848,0.78846,1.16905,0.001802,0.001802,0.001802
12,48.3353,1.16248,0.84706,1.07332,0.79064,1,0.92995,0.58248,1.19215,0.72006,1.14815,0.0017822,0.0017822,0.0017822
13,52.075,1.13775,0.80492,1.07629,0.78736,0.9523,0.93598,0.61834,1.0602,0.68067,1.07706,0.0017624,0.0017624,0.0017624
14,55.7983,1.13453,0.78944,1.03586,0.84122,0.91429,0.91795,0.55503,1.13497,0.72872,1.10016,0.0017426,0.0017426,0.0017426
15,59.8046,1.11317,0.80492,1.04911,0.77719,0.94286,0.92308,0.57678,1.08153,0.74284,1.09776,0.0017228,0.0017228,0.0017228
16,63.6953,1.11521,0.77635,1.05885,0.82712,0.95708,0.95054,0.61341,1.04299,0.67372,1.07119,0.001703,0.001703,0.001703
17,67.6465,1.12229,0.80085,1.05418,0.82112,0.82857,0.89662,0.52688,1.26165,0.76159,1.18268,0.0016832,0.0016832,0.0016832
18,71.4153,1.11302,0.73185,1.03071,0.79562,0.94286,0.9116,0.58051,1.10241,0.76939,1.10286,0.0016634,0.0016634,0.0016634
19,75.5122,1.06837,0.71208,1.05081,0.78341,0.93024,0.89958,0.60573,1.05369,0.7172,1.0732,0.0016436,0.0016436,0.0016436
20,79.3549,1.08342,0.73694,1.06746,0.78171,0.92099,0.90981,0.55837,1.2009,0.79408,1.13198,0.0016238,0.0016238,0.0016238
21,83.0687,1.07626,0.70713,1.03077,0.86306,0.91429,0.92563,0.61987,1.0451,0.66086,1.07698,0.001604,0.001604,0.001604
22,86.8426,1.03886,0.68921,1.02024,0.82708,1,0.94346,0.66163,1.12841,0.67626,1.0844,0.0015842,0.0015842,0.0015842
23,90.9829,1.03503,0.68959,1.0064,0.82646,0.97143,0.95081,0.63831,1.14649,0.6713,1.10298,0.0015644,0.0015644,0.0015644
24,94.8595,1.05938,0.70399,1.03686,0.81258,0.99113,0.9489,0.64937,1.06108,0.63191,1.09126,0.0015446,0.0015446,0.0015446
25,98.571,1.03636,0.65885,1.03099,0.86188,0.85714,0.91696,0.60686,1.12209,0.84523,1.08081,0.0015248,0.0015248,0.0015248
26,102.721,1.0622,0.66177,1.03324,0.77629,0.99158,0.93406,0.64788,1.06684,0.69462,1.07172,0.001505,0.001505,0.001505
27,106.405,1.03901,0.65724,1.02713,0.84579,0.94286,0.9477,0.66173,1.0469,0.67496,1.05735,0.0014852,0.0014852,0.0014852
28,110.137,1.05585,0.69179,1.03028,0.9389,0.87821,0.94731,0.62612,1.04136,0.6375,1.05446,0.0014654,0.0014654,0.0014654
29,113.896,1.04273,0.68076,1.00718,0.89011,0.94286,0.95484,0.66702,1.01313,0.62303,1.03397,0.0014456,0.0014456,0.0014456
30,117.621,1.0145,0.65906,1.01385,0.8328,0.94286,0.94116,0.65242,1.02168,0.66893,1.05578,0.0014258,0.0014258,0.0014258
31,121.232,1.02695,0.66566,1.01002,0.77787,0.91429,0.91425,0.60768,1.09184,0.72437,1.09556,0.001406,0.001406,0.001406
32,124.993,0.98997,0.63576,0.99112,0.88343,0.88571,0.95244,0.62665,1.04434,0.63889,1.06825,0.0013862,0.0013862,0.0013862
33,128.773,1.05072,0.67241,1.03309,0.89401,0.85714,0.95639,0.63149,1.11219,0.69822,1.12922,0.0013664,0.0013664,0.0013664
34,132.567,1.02619,0.66527,1.01865,0.7349,0.87141,0.90404,0.58029,1.13403,0.84238,1.12158,0.0013466,0.0013466,0.0013466
35,136.228,0.99885,0.65353,1.00349,0.772,0.96751,0.92128,0.62021,1.07285,0.71978,1.09013,0.0013268,0.0013268,0.0013268
36,139.883,1.0073,0.64414,1.00097,0.8427,0.88571,0.93029,0.6111,1.11176,0.78505,1.10329,0.001307,0.001307,0.001307
37,143.69,1.0072,0.62258,1.00999,0.87332,0.98498,0.97334,0.66641,1.00755,0.56046,1.05216,0.0012872,0.0012872,0.0012872
38,147.377,0.97778,0.61053,0.98661,0.79119,0.88571,0.89869,0.59781,1.08442,0.79034,1.1353,0.0012674,0.0012674,0.0012674
39,150.956,0.96345,0.61455,1.00833,0.84332,1,0.94538,0.64492,1.02996,0.59719,1.06605,0.0012476,0.0012476,0.0012476
40,154.695,1.00593,0.58616,1.01255,0.80216,0.94286,0.938,0.64505,1.04942,0.6498,1.05798,0.0012278,0.0012278,0.0012278
41,158.298,0.96109,0.6026,0.99969,0.81289,0.99315,0.95319,0.64451,1.12489,0.67778,1.08212,0.001208,0.001208,0.001208
42,162.078,1.00389,0.62119,1.01939,0.83114,1,0.95847,0.6311,1.04436,0.61546,1.06069,0.0011882,0.0011882,0.0011882
43,165.85,0.94945,0.57889,0.98274,0.89394,0.96338,0.96317,0.66411,1.02886,0.56369,1.05515,0.0011684,0.0011684,0.0011684
