epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2301,1.24474,2.84275,1.45151,0.06263,0.19175,0.05327,0.03219,1.54714,20.5838,2.20636,0.0701357,0.00331825,0.00331825
2,148.974,1.11836,2.21038,1.3499,0.09852,0.07206,0.02162,0.01361,2.54111,5.4986,3.2488,0.0399162,0.00643208,0.00643208
3,216.848,1.08294,2.132,1.31999,0.09253,0.54941,0.14985,0.09865,1.18737,3.34205,1.57164,0.00947674,0.00932591,0.00932591
4,283.719,1.01696,2.00611,1.27303,0.14125,0.43422,0.20839,0.14329,1.06465,2.29691,1.45929,0.00901,0.00901,0.00901
5,716.366,0.96727,1.91695,1.24819,0.2684,0.57715,0.2264,0.16998,0.95995,1.88438,1.31855,0.00868,0.00868,0.00868
6,781.463,0.91509,1.85768,1.20302,0.20708,0.54176,0.269,0.18848,1.00744,1.83246,1.37189,0.00835,0.00835,0.00835
7,847.521,0.89571,1.82591,1.18731,0.24873,0.4331,0.28791,0.21712,0.85308,1.78776,1.19986,0.00802,0.00802,0.00802
8,916.648,0.86709,1.76305,1.16889,0.29555,0.4836,0.29085,0.21677,0.86378,1.72739,1.20215,0.00769,0.00769,0.00769
9,987.084,0.86284,1.74216,1.15999,0.36171,0.45473,0.28902,0.21709,0.86475,1.70374,1.21015,0.00736,0.00736,0.00736
10,1057.84,0.84282,1.70915,1.14455,0.23264,0.53908,0.30366,0.23452,0.81921,1.87282,1.14442,0.00703,0.00703,0.00703
11,1131.36,0.81466,1.66813,1.13208,0.23842,0.48557,0.33463,0.26455,0.78759,1.57853,1.14471,0.0067,0.0067,0.0067
12,1200,0.81001,1.64623,1.13296,0.31306,0.5535,0.32719,0.24511,0.8241,1.57993,1.16716,0.00637,0.00637,0.00637
13,1270.99,0.79873,1.61673,1.11997,0.25285,0.56264,0.3604,0.27662,0.77207,1.55794,1.12528,0.00604,0.00604,0.00604
14,1341.18,0.77367,1.57575,1.10453,0.36734,0.5122,0.3825,0.29827,0.77685,1.57313,1.11973,0.00571,0.00571,0.00571
15,1411.41,0.76007,1.54713,1.09925,0.30594,0.51634,0.3915,0.30629,0.77283,1.50349,1.11256,0.00538,0.00538,0.00538
16,1481.55,0.7502,1.50192,1.09737,0.33079,0.46484,0.4313,0.34164,0.74363,1.46521,1.09362,0.00505,0.00505,0.00505
17,1551.51,0.74427,1.45755,1.09026,0.41728,0.52901,0.50566,0.40809,0.75561,1.37203,1.09727,0.00472,0.00472,0.00472
18,1622.02,0.7424,1.42102,1.09059,0.55442,0.52381,0.56876,0.46133,0.72047,1.26622,1.08204,0.00439,0.00439,0.00439
19,1692.01,0.72885,1.3584,1.08242,0.58422,0.5509,0.57924,0.47241,0.72825,1.16321,1.08136,0.00406,0.00406,0.00406
20,1762.26,0.72446,1.33805,1.0764,0.56094,0.62817,0.61515,0.50129,0.74236,1.09809,1.08753,0.00373,0.00373,0.00373
21,1865.23,0.727,1.147,1.09307,0.59534,0.63954,0.63555,0.52549,0.7327,1.08996,1.07751,0.0034,0.0034,0.0034
22,1936.64,0.70573,1.08485,1.0707,0.74512,0.64442,0.7176,0.60422,0.69185,0.9164,1.05226,0.00307,0.00307,0.00307
23,2005.97,0.68775,0.98097,1.05836,0.73606,0.65582,0.75405,0.63536,0.70414,0.91381,1.06124,0.00274,0.00274,0.00274
24,2074.98,0.6815,0.90504,1.05179,0.83235,0.67124,0.79315,0.67218,0.66961,0.80311,1.03726,0.00241,0.00241,0.00241
25,2144.91,0.66875,0.81465,1.04004,0.85051,0.74009,0.84348,0.71528,0.67335,0.71112,1.0264,0.00208,0.00208,0.00208
26,2214.49,0.65733,0.75753,1.02817,0.87444,0.7617,0.8494,0.71797,0.66017,0.67177,1.01903,0.00175,0.00175,0.00175
27,2283.67,0.64854,0.69489,1.0171,0.91291,0.75693,0.86548,0.73218,0.65275,0.64235,1.01273,0.00142,0.00142,0.00142
28,2353.29,0.62704,0.66577,1.00924,0.89302,0.78735,0.87638,0.74625,0.62898,0.59197,0.99873,0.00109,0.00109,0.00109
29,2423.02,0.60934,0.62241,1.00165,0.91355,0.78882,0.89027,0.763,0.61864,0.55594,0.99274,0.00076,0.00076,0.00076
30,2492.72,0.59701,0.59327,0.9884,0.91178,0.79568,0.89049,0.76155,0.61357,0.54187,0.99459,0.00043,0.00043,0.00043
